Fecha,Casos_Diagnostico,Casos_Recuperado,Casos_Muerte,Casos_Activos,Tasa_Contagio,Tasa_Recuperacion,Tasa_Muerte
2020-03-16,2,0.0,0.0,2.0,,,
2020-03-19,5,0.0,0.0,5.0,1.5000026783299005,0.0,0.0
2020-03-21,7,0.0,0.0,7.0,0.4000017855580494,0.0,0.0
2020-03-24,9,2.0,0.0,7.0,0.28571607127552334,0.2857142857142857,0.0
2020-03-25,12,3.0,0.0,9.0,0.42857487215996415,0.14285714285714285,0.0
2020-03-27,13,4.0,0.0,9.0,0.11111230149058325,0.1111111111111111,0.0
2020-03-28,16,5.0,0.0,11.0,0.3333372020700717,0.1111111111111111,0.0
2020-03-29,20,6.0,0.0,14.0,0.36364155803806475,0.09090909090909091,0.0
2020-03-30,21,10.0,0.0,11.0,0.0714298468442581,0.2857142857142857,0.0
2020-03-31,29,11.0,0.0,18.0,0.7272863626380601,0.09090909090909091,0.0
2020-04-01,31,0.0,0.0,31.0,0.1111139879051642,-0.6111111111111112,0.0
2020-04-03,40,18.0,2.0,20.0,0.2903306158428986,0.5806451612903226,0.06451612903225806
2020-04-05,42,0.0,0.0,42.0,0.10000357122768987,-0.9,-0.1
2020-04-06,43,23.0,0.0,20.0,0.023810416618040488,0.5476190476190477,0.0
2020-04-07,46,0.0,0.0,46.0,0.15000575862007393,-1.15,0.0
2020-04-08,49,27.0,0.0,22.0,0.06522006973946318,0.5869565217391305,0.0
2020-04-09,55,0.0,3.0,52.0,0.2727392039701982,-1.2272727272727273,0.13636363636363635
2020-04-10,60,0.0,0.0,60.0,0.09615856779214957,0.0,-0.057692307692307696
2020-04-11,64,0.0,0.0,64.0,0.06667023795812602,0.0,0.0
2020-04-12,66,28.0,0.0,38.0,0.031251785652106755,0.4375,0.0
2020-04-13,67,0.0,0.0,67.0,0.026317340174335405,-0.7368421052631579,0.0
2020-04-14,69,0.0,0.0,69.0,0.029852531925546315,0.0,0.0
2020-04-16,70,30.0,0.0,40.0,0.014493646453227494,0.43478260869565216,0.0
2020-04-17,72,31.0,0.0,41.0,0.05000312490792682,0.025,0.0
2020-04-18,75,0.0,0.0,75.0,0.07317543540987792,-0.7560975609756098,0.0
2020-04-19,77,35.0,0.0,42.0,0.02666845233631064,0.4666666666666667,0.0
2020-04-20,78,36.0,4.0,38.0,0.02381116067628702,0.023809523809523808,0.09523809523809523
2020-04-21,82,0.0,0.0,82.0,0.10527048855817363,-0.9473684210526315,-0.10526315789473684
2020-04-22,85,38.0,5.0,42.0,0.036588044374864834,0.4634146341463415,0.06097560975609756
2020-04-23,87,0.0,0.0,87.0,0.04762266150654552,-0.9047619047619048,-0.11904761904761904
2020-04-24,92,42.0,0.0,50.0,0.057475728589755776,0.4827586206896552,0.0
2020-04-25,99,0.0,8.0,91.0,0.1400114998870547,-0.84,0.16
2020-04-26,111,45.0,0.0,66.0,0.13187978802744466,0.4945054945054945,-0.08791208791208792
2020-04-27,129,46.0,0.0,83.0,0.2727543021411192,0.015151515151515152,0.0
2020-04-28,138,47.0,0.0,91.0,0.10844622447237964,0.012048192771084338,0.0
2020-04-29,140,0.0,0.0,140.0,0.021980730068929255,-0.5164835164835165,0.0
2020-04-30,159,0.0,11.0,148.0,0.1357312505604458,0.0,0.07857142857142857
2020-05-01,164,0.0,14.0,150.0,0.0337885801143339,0.0,0.02027027027027027
2020-05-02,196,49.0,16.0,131.0,0.21336457313002463,0.32666666666666666,0.013333333333333334
2020-05-03,242,50.0,18.0,174.0,0.3512064936526184,0.007633587786259542,0.015267175572519083
2020-05-04,253,52.0,19.0,182.0,0.06323205218808611,0.011494252873563218,0.005747126436781609
2020-05-05,298,58.0,22.0,218.0,0.24730860736352545,0.03296703296703297,0.016483516483516484
2020-05-06,305,71.0,23.0,211.0,0.032118636808857896,0.05963302752293578,0.0045871559633027525
2020-05-07,322,74.0,24.0,224.0,0.08059066492603452,0.014218009478672985,0.004739336492890996
2020-05-08,380,78.0,27.0,275.0,0.2590030279517666,0.017857142857142856,0.013392857142857142
2020-05-09,391,80.0,0.0,311.0,0.04001357478590687,0.007272727272727273,-0.09818181818181818
2020-05-10,426,83.0,29.0,314.0,0.1125794916166316,0.00964630225080386,0.0932475884244373
2020-05-11,450,88.0,31.0,331.0,0.07646220128918094,0.01592356687898089,0.006369426751592357
2020-05-12,487,89.0,33.0,365.0,0.1118274038630921,0.0030211480362537764,0.006042296072507553
2020-05-13,591,94.0,0.0,497.0,0.2850554436667914,0.0136986301369863,-0.09041095890410959
2020-05-14,653,101.0,35.0,517.0,0.1248143467454769,0.014084507042253521,0.07042253521126761
2020-05-15,714,117.0,36.0,561.0,0.11805721983016494,0.030947775628626693,0.0019342359767891683
2020-05-16,745,119.0,37.0,589.0,0.05529371352412525,0.0035650623885918,0.0017825311942959
2020-05-17,828,122.0,38.0,668.0,0.14101059675150743,0.0050933786078098476,0.001697792869269949
2020-05-18,850,134.0,39.0,677.0,0.032958495240650455,0.017964071856287425,0.0014970059880239522
2020-05-19,886,141.0,44.0,701.0,0.053216159029764155,0.0103397341211226,0.007385524372230428
2020-05-20,952,154.0,46.0,752.0,0.09422574499387287,0.018544935805991442,0.0028530670470756064
2020-05-21,1035,180.0,48.0,807.0,0.1104662280850927,0.034574468085106384,0.0026595744680851063
2020-05-22,1093,193.0,54.0,846.0,0.07193759956976767,0.0161090458488228,0.007434944237918215
2020-05-23,1236,207.0,58.0,971.0,0.16919583468357488,0.016548463356973995,0.004728132387706856
2020-05-24,1340,224.0,63.0,1053.0,0.10722439510786666,0.017507723995880537,0.005149330587023687
2020-05-25,1374,242.0,66.0,1066.0,0.03232737279120055,0.017094017094017096,0.002849002849002849
2020-05-26,1465,268.0,78.0,1119.0,0.08547069824817968,0.024390243902439025,0.01125703564727955
2020-05-27,1509,293.0,83.0,1133.0,0.03937231782475242,0.022341376228775692,0.004468275245755138
2020-05-28,1590,328.0,92.0,1170.0,0.07158805843676211,0.03089143865842895,0.00794351279788173
2020-05-29,1671,346.0,98.0,1227.0,0.06932918285946815,0.015384615384615385,0.005128205128205128
2020-05-30,1861,363.0,111.0,1387.0,0.1550805791631395,0.013854930725346373,0.010594947025264874
2020-05-31,1984,443.0,119.0,1422.0,0.0888281896055283,0.05767844268204758,0.005767844268204758
2020-06-01,2079,506.0,134.0,1439.0,0.06692585711645423,0.04430379746835443,0.010548523206751054
2020-06-02,2261,582.0,151.0,1528.0,0.1267119072934828,0.05281445448227936,0.0118137595552467
2020-06-03,2399,651.0,180.0,1568.0,0.0904968097609089,0.045157068062827224,0.018979057591623036
2020-06-04,2719,711.0,196.0,1812.0,0.20451966619032574,0.03826530612244898,0.01020408163265306
2020-06-05,2921,812.0,216.0,1893.0,0.11175029755324598,0.05573951434878587,0.011037527593818985
2020-06-06,3105,862.0,235.0,2008.0,0.09745435236438507,0.02641310089804543,0.010036978341257264
2020-06-07,3282,976.0,259.0,2047.0,0.08839244008034083,0.05677290836653386,0.01195219123505976
2020-06-08,3418,1101.0,279.0,2038.0,0.06663393403612772,0.06106497313141182,0.009770395701025891
2020-06-09,3664,1142.0,308.0,2214.0,0.12107603922293783,0.020117762512266928,0.01422963689892051
2020-06-10,3883,1205.0,331.0,2347.0,0.09924061789848085,0.028455284552845527,0.01038843721770551
2020-06-11,4086,1256.0,360.0,2470.0,0.08679428082560918,0.021729867916489135,0.012356199403493822
2020-06-12,4477,1341.0,388.0,2748.0,0.15887916708885622,0.03441295546558704,0.011336032388663968
2020-06-13,4763,1392.0,414.0,2957.0,0.10449334649567481,0.018558951965065504,0.009461426491994178
2020-06-14,5091,1432.0,447.0,3212.0,0.11139692475854551,0.013527223537368955,0.011159959418329387
2020-06-15,5887,1467.0,476.0,3944.0,0.24895218948751832,0.010896637608966376,0.009028642590286426
2020-06-16,6160,1503.0,517.0,4140.0,0.06958478834756328,0.009127789046653144,0.01039553752535497
2020-06-17,6600,1561.0,550.0,4489.0,0.10686791270740438,0.014009661835748793,0.007971014492753623
2020-06-18,7160,1681.0,591.0,4888.0,0.1254888070039063,0.026732011583871687,0.00913343729115616
2020-06-19,7564,1807.0,623.0,5134.0,0.08318312006523486,0.025777414075286414,0.006546644844517185
2020-06-20,8084,1942.0,656.0,5486.0,0.10197417386956537,0.02629528632645111,0.006427736657576938
2020-06-21,8502,2130.0,688.0,5684.0,0.07674785232658286,0.03426904848705797,0.005833029529711994
2020-06-22,8834,2270.0,725.0,5839.0,0.05885631210983736,0.024630541871921183,0.006509500351864884
2020-06-23,9176,2486.0,766.0,5924.0,0.05903728701319551,0.03699263572529543,0.007021750299708854
2020-06-24,9700,2676.0,800.0,6224.0,0.08918435495767725,0.032072923700202566,0.005739365293720459
