Fecha,Casos_Diagnostico,Casos_Recuperado,Casos_Muerte,Casos_Activos,Tasa_Contagio,Tasa_Recuperacion,Tasa_Muerte,
6/03/2020,1,0,0,1,,,,
11/03/2020,3,0,0,3,2.000000278,0,0,
12/03/2020,5,0,0,5,0.666666945,0,0,
13/03/2020,6,1,0,5,0.200000139,0.2,0,
14/03/2020,16,2,0,14,2.000001671,0.2,0,
15/03/2020,26,0,0,26,0.714287306,-0.142857143,0,
16/03/2020,32,0,0,32,0.230770066,0,0,
17/03/2020,39,0,0,39,0.218750975,0,0,
18/03/2020,44,0,0,44,0.128205824,0,0,
19/03/2020,52,0,0,52,0.181819296,0,0,
20/03/2020,79,3,0,76,0.519234529,0.057692308,0,
21/03/2020,84,5,0,79,0.065790197,0.026315789,0,
22/03/2020,88,7,0,81,0.050633504,0.025316456,0,
23/03/2020,117,11,0,106,0.358029079,0.049382716,0,
24/03/2020,158,14,0,144,0.386798755,0.028301887,0,
25/03/2020,172,0,1,171,0.097224361,-0.097222222,0.006944444,
26/03/2020,179,21,3,155,0.040936653,0.122807018,0.011695906,
27/03/2020,217,31,0,186,0.245167401,0.064516129,-0.019354839,
28/03/2020,255,39,6,210,0.204307249,0.043010753,0.032258065,
29/03/2020,288,48,7,233,0.157148437,0.042857143,0.004761905,
30/03/2020,343,58,8,277,0.236060969,0.042918455,0.004291845,
31/03/2020,383,63,10,310,0.144411229,0.018050542,0.007220217,
1/04/2020,464,78,11,375,0.261304258,0.048387097,0.003225806,
2/04/2020,532,93,15,424,0.18134505,0.04,0.010666667,
3/04/2020,576,109,20,447,0.103781273,0.037735849,0.011792453,
4/04/2020,680,115,30,535,0.232680855,0.013422819,0.022371365,
5/04/2020,710,120,34,556,0.056080076,0.009345794,0.007476636,
6/04/2020,761,128,40,593,0.091735688,0.014388489,0.010791367,
7/04/2020,845,133,45,667,0.141667626,0.008431703,0.008431703,
8/04/2020,975,138,47,790,0.194925484,0.007496252,0.002998501,
9/04/2020,1011,147,51,813,0.045575808,0.011392405,0.005063291,
10/04/2020,1099,158,54,887,0.108256323,0.013530135,0.003690037,
11/04/2020,1143,174,59,910,0.049613004,0.018038331,0.005636979,
12/04/2020,1162,233,60,869,0.020882445,0.064835165,0.001098901,
13/04/2020,1186,280,64,842,0.027622421,0.054085155,0.004602992,
14/04/2020,1222,317,70,835,0.042762407,0.043942993,0.007125891,
15/04/2020,1270,387,73,810,0.057494813,0.083832335,0.003592814,
16/04/2020,1313,423,77,813,0.053095809,0.044444444,0.004938272,
17/04/2020,1372,435,78,859,0.072583996,0.014760148,0.001230012,
18/04/2020,1458,453,80,925,0.100135545,0.020954598,0.002328289,
19/04/2020,1577,470,84,1023,0.128674773,0.018378378,0.004324324,
20/04/2020,1656,508,88,1060,0.077240813,0.03714565,0.003910068,
21/04/2020,1730,531,94,1105,0.069827423,0.021698113,0.005660377,
22/04/2020,1814,581,95,1138,0.076036417,0.045248869,0.000904977,
